Country_Name,Country_Code,Region,IncomeGroup
Aruba,ABW,Latin America & Caribbean,High income: nonOECD
Afghanistan,AFG,South Asia,Low income
Angola,AGO,Sub-Saharan Africa,Upper middle income
Albania,ALB,Europe & Central Asia,Upper middle income
Andorra,AND,Europe & Central Asia,High income: nonOECD
Arab World,ARB,,
United Arab Emirates,ARE,Middle East & North Africa,High income: nonOECD
Argentina,ARG,Latin America & Caribbean,Upper middle income
Armenia,ARM,Europe & Central Asia,Lower middle income
American Samoa,ASM,East Asia & Pacific,Upper middle income
Antigua and Barbuda,ATG,Latin America & Caribbean,High income: nonOECD
Australia,AUS,East Asia & Pacific,High income: OECD
Austria,AUT,Europe & Central Asia,High income: OECD
Azerbaijan,AZE,Europe & Central Asia,Upper middle income
Burundi,BDI,Sub-Saharan Africa,Low income
Belgium,BEL,Europe & Central Asia,High income: OECD
Benin,BEN,Sub-Saharan Africa,Low income
Burkina Faso,BFA,Sub-Saharan Africa,Low income
Bangladesh,BGD,South Asia,Low income
Bulgaria,BGR,Europe & Central Asia,Upper middle income
Bahrain,BHR,Middle East & North Africa,High income: nonOECD
"Bahamas, The",BHS,Latin America & Caribbean,High income: nonOECD
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income
Belarus,BLR,Europe & Central Asia,Upper middle income
Belize,BLZ,Latin America & Caribbean,Upper middle income
Bermuda,BMU,North America,High income: nonOECD
Bolivia,BOL,Latin America & Caribbean,Lower middle income
Brazil,BRA,Latin America & Caribbean,Upper middle income
Barbados,BRB,Latin America & Caribbean,High income: nonOECD
Brunei Darussalam,BRN,East Asia & Pacific,High income: nonOECD
Bhutan,BTN,South Asia,Lower middle income
Botswana,BWA,Sub-Saharan Africa,Upper middle income
Sub-Saharan Africa (IFC classification),CAA,,
Central African Republic,CAF,Sub-Saharan Africa,Low income
Canada,CAN,North America,High income: OECD
East Asia and the Pacific (IFC classification),CEA,,
Europe and Central Asia (IFC classification),CEU,,
Switzerland,CHE,Europe & Central Asia,High income: OECD
Channel Islands,CHI,Europe & Central Asia,High income: nonOECD
Chile,CHL,Latin America & Caribbean,High income: OECD
China,CHN,East Asia & Pacific,Upper middle income
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income
Latin America and the Caribbean (IFC classification),CLA,,
Middle East and North Africa (IFC classification),CME,,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income
Colombia,COL,Latin America & Caribbean,Upper middle income
Comoros,COM,Sub-Saharan Africa,Low income
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,Latin America & Caribbean,Upper middle income
South Asia (IFC classification),CSA,,
Caribbean small states,CSS,,
Cuba,CUB,Latin America & Caribbean,Upper middle income
Curaçao,CUW,Latin America & Caribbean,High income: nonOECD
Cayman Islands,CYM,Latin America & Caribbean,High income: nonOECD
Cyprus,CYP,Europe & Central Asia,High income: nonOECD
Czech Republic,CZE,Europe & Central Asia,High income: OECD
Germany,DEU,Europe & Central Asia,High income: OECD
Djibouti,DJI,Middle East & North Africa,Lower middle income
Dominica,DMA,Latin America & Caribbean,Upper middle income
Denmark,DNK,Europe & Central Asia,High income: OECD
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income
Algeria,DZA,Middle East & North Africa,Upper middle income
East Asia & Pacific,EAP,,
East Asia & Pacific (all income levels),EAS,,
Europe & Central Asia,ECA,,
Europe & Central Asia (all income levels),ECS,,
Ecuador,ECU,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income
Euro area,EMU,,
Eritrea,ERI,Sub-Saharan Africa,Low income
Spain,ESP,Europe & Central Asia,High income: OECD
Estonia,EST,Europe & Central Asia,High income: OECD
Ethiopia,ETH,Sub-Saharan Africa,Low income
European Union,EUU,,
Finland,FIN,Europe & Central Asia,High income: OECD
Fiji,FJI,East Asia & Pacific,Upper middle income
France,FRA,Europe & Central Asia,High income: OECD
Faeroe Islands,FRO,Europe & Central Asia,High income: nonOECD
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income
Gabon,GAB,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,Europe & Central Asia,High income: OECD
Georgia,GEO,Europe & Central Asia,Lower middle income
Ghana,GHA,Sub-Saharan Africa,Lower middle income
Guinea,GIN,Sub-Saharan Africa,Low income
"Gambia, The",GMB,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,Sub-Saharan Africa,High income: nonOECD
Greece,GRC,Europe & Central Asia,High income: OECD
Grenada,GRD,Latin America & Caribbean,Upper middle income
Greenland,GRL,Europe & Central Asia,High income: nonOECD
Guatemala,GTM,Latin America & Caribbean,Lower middle income
Guam,GUM,East Asia & Pacific,High income: nonOECD
Guyana,GUY,Latin America & Caribbean,Lower middle income
High income,HIC,,
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income: nonOECD
Honduras,HND,Latin America & Caribbean,Lower middle income
Heavily indebted poor countries (HIPC),HPC,,
Croatia,HRV,Europe & Central Asia,High income: nonOECD
Haiti,HTI,Latin America & Caribbean,Low income
Hungary,HUN,Europe & Central Asia,Upper middle income
Indonesia,IDN,East Asia & Pacific,Lower middle income
Isle of Man,IMN,Europe & Central Asia,High income: nonOECD
India,IND,South Asia,Lower middle income
Ireland,IRL,Europe & Central Asia,High income: OECD
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income
Iraq,IRQ,Middle East & North Africa,Upper middle income
Iceland,ISL,Europe & Central Asia,High income: OECD
Israel,ISR,Middle East & North Africa,High income: OECD
Italy,ITA,Europe & Central Asia,High income: OECD
Jamaica,JAM,Latin America & Caribbean,Upper middle income
Jordan,JOR,Middle East & North Africa,Upper middle income
Japan,JPN,East Asia & Pacific,High income: OECD
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income
Kenya,KEN,Sub-Saharan Africa,Low income
Kyrgyz Republic,KGZ,Europe & Central Asia,Low income
Cambodia,KHM,East Asia & Pacific,Low income
Kiribati,KIR,East Asia & Pacific,Lower middle income
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income: nonOECD
"Korea, Rep.",KOR,East Asia & Pacific,High income: OECD
Kosovo,KSV,Europe & Central Asia,Lower middle income
Kuwait,KWT,Middle East & North Africa,High income: nonOECD
Latin America & Caribbean,LAC,,
Lao PDR,LAO,East Asia & Pacific,Lower middle income
Lebanon,LBN,Middle East & North Africa,Upper middle income
Liberia,LBR,Sub-Saharan Africa,Low income
Libya,LBY,Middle East & North Africa,Upper middle income
St. Lucia,LCA,Latin America & Caribbean,Upper middle income
Latin America & Caribbean (all income levels),LCN,,
Least developed countries: UN classification,LDC,,
Low income,LIC,,
Liechtenstein,LIE,Europe & Central Asia,High income: nonOECD
Sri Lanka,LKA,South Asia,Lower middle income
Lower middle income,LMC,,
Low & middle income,LMY,,
Lesotho,LSO,Sub-Saharan Africa,Lower middle income
Lithuania,LTU,Europe & Central Asia,High income: nonOECD
Luxembourg,LUX,Europe & Central Asia,High income: OECD
Latvia,LVA,Europe & Central Asia,High income: nonOECD
"Macao SAR, China",MAC,East Asia & Pacific,High income: nonOECD
St. Martin (French part),MAF,Latin America & Caribbean,High income: nonOECD
Morocco,MAR,Middle East & North Africa,Lower middle income
Monaco,MCO,Europe & Central Asia,High income: nonOECD
Moldova,MDA,Europe & Central Asia,Lower middle income
Madagascar,MDG,Sub-Saharan Africa,Low income
Maldives,MDV,South Asia,Upper middle income
Middle East & North Africa (all income levels),MEA,,
Mexico,MEX,Latin America & Caribbean,Upper middle income
Marshall Islands,MHL,East Asia & Pacific,Upper middle income
Middle income,MIC,,
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income
Mali,MLI,Sub-Saharan Africa,Low income
Malta,MLT,Middle East & North Africa,High income: nonOECD
Myanmar,MMR,East Asia & Pacific,Low income
Middle East & North Africa,MNA,,
Montenegro,MNE,Europe & Central Asia,Upper middle income
Mongolia,MNG,East Asia & Pacific,Lower middle income
Northern Mariana Islands,MNP,East Asia & Pacific,High income: nonOECD
Mozambique,MOZ,Sub-Saharan Africa,Low income
Mauritania,MRT,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,Sub-Saharan Africa,Upper middle income
Malawi,MWI,Sub-Saharan Africa,Low income
Malaysia,MYS,East Asia & Pacific,Upper middle income
North America,NAC,,
Namibia,NAM,Sub-Saharan Africa,Upper middle income
New Caledonia,NCL,East Asia & Pacific,High income: nonOECD
Niger,NER,Sub-Saharan Africa,Low income
Nigeria,NGA,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,Latin America & Caribbean,Lower middle income
Netherlands,NLD,Europe & Central Asia,High income: OECD
High income: nonOECD,NOC,,
Norway,NOR,Europe & Central Asia,High income: OECD
Nepal,NPL,South Asia,Low income
New Zealand,NZL,East Asia & Pacific,High income: OECD
High income: OECD,OEC,,
OECD members,OED,,
Oman,OMN,Middle East & North Africa,High income: nonOECD
Other small states,OSS,,
Pakistan,PAK,South Asia,Lower middle income
Panama,PAN,Latin America & Caribbean,Upper middle income
Peru,PER,Latin America & Caribbean,Upper middle income
Philippines,PHL,East Asia & Pacific,Lower middle income
Palau,PLW,East Asia & Pacific,Upper middle income
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income
Poland,POL,Europe & Central Asia,High income: OECD
Puerto Rico,PRI,Latin America & Caribbean,High income: nonOECD
"Korea, Dem. Rep.",PRK,East Asia & Pacific,Low income
Portugal,PRT,Europe & Central Asia,High income: OECD
Paraguay,PRY,Latin America & Caribbean,Lower middle income
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income
Pacific island small states,PSS,,
French Polynesia,PYF,East Asia & Pacific,High income: nonOECD
Qatar,QAT,Middle East & North Africa,High income: nonOECD
Romania,ROU,Europe & Central Asia,Upper middle income
Russian Federation,RUS,Europe & Central Asia,High income: nonOECD
Rwanda,RWA,Sub-Saharan Africa,Low income
South Asia,SAS,,
Saudi Arabia,SAU,Middle East & North Africa,High income: nonOECD
Sudan,SDN,Sub-Saharan Africa,Lower middle income
Senegal,SEN,Sub-Saharan Africa,Lower middle income
Singapore,SGP,East Asia & Pacific,High income: nonOECD
Solomon Islands,SLB,East Asia & Pacific,Lower middle income
Sierra Leone,SLE,Sub-Saharan Africa,Low income
El Salvador,SLV,Latin America & Caribbean,Lower middle income
San Marino,SMR,Europe & Central Asia,High income: nonOECD
Somalia,SOM,Sub-Saharan Africa,Low income
Serbia,SRB,Europe & Central Asia,Upper middle income
Sub-Saharan Africa,SSA,,
South Sudan,SSD,Sub-Saharan Africa,Low income
Sub-Saharan Africa (all income levels),SSF,,
Small states,SST,,
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income
Suriname,SUR,Latin America & Caribbean,Upper middle income
Slovak Republic,SVK,Europe & Central Asia,High income: OECD
Slovenia,SVN,Europe & Central Asia,High income: OECD
Sweden,SWE,Europe & Central Asia,High income: OECD
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income: nonOECD
Seychelles,SYC,Sub-Saharan Africa,Upper middle income
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income: nonOECD
Chad,TCD,Sub-Saharan Africa,Low income
Togo,TGO,Sub-Saharan Africa,Low income
Thailand,THA,East Asia & Pacific,Upper middle income
Tajikistan,TJK,Europe & Central Asia,Low income
Turkmenistan,TKM,Europe & Central Asia,Upper middle income
Timor-Leste,TLS,East Asia & Pacific,Lower middle income
Tonga,TON,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,Latin America & Caribbean,High income: nonOECD
Tunisia,TUN,Middle East & North Africa,Upper middle income
Turkey,TUR,Europe & Central Asia,Upper middle income
Tuvalu,TUV,East Asia & Pacific,Upper middle income
Tanzania,TZA,Sub-Saharan Africa,Low income
Uganda,UGA,Sub-Saharan Africa,Low income
Ukraine,UKR,Europe & Central Asia,Lower middle income
Upper middle income,UMC,,
Uruguay,URY,Latin America & Caribbean,High income: nonOECD
United States,USA,North America,High income: OECD
Uzbekistan,UZB,Europe & Central Asia,Lower middle income
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income: nonOECD
Vietnam,VNM,East Asia & Pacific,Lower middle income
Vanuatu,VUT,East Asia & Pacific,Lower middle income
World,WLD,,
Samoa,WSM,East Asia & Pacific,Lower middle income
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income
South Africa,ZAF,Sub-Saharan Africa,Upper middle income
Zambia,ZMB,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,Sub-Saharan Africa,Low income
Taiwan,TWN,East Asia & Pacific,High income: nonOECD
